no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_canceled
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,1.37,0.37,0.42,-0.74,0.37,0.48,-0.18,-0.07,-0.1,1.15,0.32,0
0.21,-0.31,1.26,1.81,-0.49,-0.21,-0.59,1.52,0.42,0.21,1.61,0.48,-0.18,-0.07,-0.1,0.16,-0.91,1
0.21,1.86,-0.99,-0.17,-0.49,4.77,-0.59,0.98,0.42,0.21,-1.33,0.48,-0.18,-0.07,-0.1,0.65,1.54,0
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,3.7,0.42,0.21,0.25,0.48,-0.18,-0.07,-0.1,0.25,0.32,1
0.21,-0.31,-0.99,1.15,-0.49,-0.21,-0.59,0.75,0.42,-1.06,-0.31,0.48,-0.18,-0.07,-0.1,-0.39,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.53,0.42,1.17,0.14,0.48,-0.18,-0.07,-0.1,-0.78,0.32,0
0.21,4.02,0.13,0.49,-0.49,-0.21,2.67,-0.53,0.42,1.49,0.71,0.48,-0.18,-0.07,-0.1,1.35,-0.91,0
0.21,-0.31,0.13,-1.5,2.16,-0.21,-0.59,1.79,0.42,0.85,0.82,0.48,-0.18,-0.07,-0.1,-0.53,1.54,0
2.1,-0.31,0.13,-0.17,-0.49,-0.21,1.37,-0.17,0.42,-0.74,-0.31,0.48,-0.18,-0.07,-0.1,1.42,1.54,0
-1.68,-0.31,-0.99,1.15,-0.49,-0.21,-0.59,-0.17,0.42,1.49,-0.31,0.48,-0.18,-0.07,-0.1,-0.82,1.54,0
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,-0.74,-2.38,0.85,1.72,0.48,-0.18,-0.07,-0.1,-0.28,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.62,-2.38,0.85,-0.88,0.48,-0.18,-0.07,-0.1,0.03,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.85,0.42,-1.7,0.03,-1.0,-0.18,-0.07,-0.1,-1.1,-0.91,0
0.21,-0.31,0.13,1.15,-0.49,4.77,-0.59,-0.82,-2.38,1.17,-1.55,0.48,-0.18,-0.07,-0.1,-0.6,-0.91,0
0.21,-0.31,0.13,0.49,-0.49,-0.21,1.37,-0.97,-2.38,0.53,0.59,0.48,-0.18,-0.07,-0.1,1.3,0.32,0
0.21,-0.31,-0.99,-0.83,2.16,-0.21,-0.59,-0.79,0.42,-0.42,1.61,0.48,-0.18,-0.07,-0.1,-0.11,0.32,0
0.21,-0.31,1.26,-0.83,-0.49,-0.21,-0.59,-0.5,-2.38,0.53,-1.21,0.48,-0.18,-0.07,-0.1,-0.3,2.77,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,1.68,0.42,0.53,1.61,0.48,-0.18,-0.07,-0.1,0.32,1.54,1
0.21,-0.31,0.13,-1.5,2.16,-0.21,-0.59,-0.95,0.42,-0.42,1.27,0.48,-0.18,-0.07,-0.1,0.56,0.32,0
0.21,-0.31,-0.99,0.49,2.16,-0.21,-0.59,0.81,0.42,-0.42,0.03,0.48,-0.18,-0.07,-0.1,0.27,1.54,0
0.21,-0.31,1.26,0.49,-0.49,-0.21,-0.59,-0.39,0.42,-0.42,1.61,0.48,-0.18,-0.07,-0.1,0.32,0.32,0
0.21,4.02,1.26,-0.17,-0.49,-0.21,0.06,0.72,0.42,-0.42,1.16,0.48,-0.18,-0.07,-0.1,2.07,0.32,1
2.1,-0.31,1.26,-0.17,-0.49,4.77,1.37,0.82,0.42,0.21,-0.31,0.48,-0.18,-0.07,-0.1,1.32,0.32,0
2.1,-0.31,1.26,1.81,-0.49,-0.21,1.37,-0.39,0.42,-1.06,0.71,0.48,-0.18,-0.07,-0.1,0.79,-0.91,1
0.21,1.86,1.26,1.81,-0.49,-0.21,-0.59,0.56,0.42,1.17,-0.42,0.48,-0.18,-0.07,-0.1,-0.08,2.77,0
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,5.49,0.42,-1.06,1.5,0.48,-0.18,-0.07,-0.1,-1.07,-0.91,1
0.21,-0.31,1.26,0.49,-0.49,-0.21,-0.59,-0.94,-2.38,1.17,-0.2,0.48,-0.18,-0.07,-0.1,-0.07,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,3.65,0.42,0.53,-1.67,0.48,-0.18,-0.07,-0.1,0.01,0.32,1
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,3.2,0.42,0.53,0.03,-1.0,-0.18,-0.07,-0.1,-1.25,-0.91,0
0.21,-0.31,0.13,0.49,-0.49,-0.21,-0.59,0.02,0.42,-1.38,-0.65,0.48,-0.18,-0.07,-0.1,-0.84,-0.91,1
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,1.19,0.42,-0.74,-1.21,0.48,-0.18,-0.07,-0.1,-0.01,-0.91,0
2.1,-0.31,1.26,-1.5,-0.49,-0.21,1.37,0.02,0.42,-1.06,0.93,0.48,-0.18,-0.07,-0.1,0.73,1.54,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.53,0.42,-1.38,1.61,-1.0,-0.18,-0.07,-0.1,-0.53,-0.91,0
-1.68,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,-0.76,0.42,1.17,-1.44,0.48,-0.18,-0.07,-0.1,0.17,0.32,1
0.21,4.02,-0.99,-0.17,-0.49,-0.21,2.67,0.63,0.42,0.85,-0.2,0.48,-0.18,-0.07,-0.1,2.25,-0.91,1
-1.68,-0.31,1.26,0.49,-0.49,-0.21,-0.59,0.74,0.42,-0.42,-1.21,-1.0,-0.18,-0.07,-0.1,0.11,-0.91,0
0.21,-0.31,0.13,1.15,-0.49,-0.21,1.37,0.27,0.42,-0.11,-0.31,0.48,-0.18,-0.07,-0.1,-0.38,0.32,0
0.21,-0.31,-0.99,-0.17,2.16,-0.21,-0.59,-0.95,0.42,0.85,0.48,0.48,-0.18,-0.07,-0.1,0.77,1.54,0
-1.68,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,-0.6,0.42,0.85,0.14,0.48,-0.18,-0.07,-0.1,0.62,1.54,0
0.21,-0.31,1.26,1.15,2.16,-0.21,-0.59,3.24,0.42,1.49,1.38,0.48,-0.18,-0.07,-0.1,-0.93,1.54,1
0.21,-0.31,0.13,1.15,-0.49,-0.21,1.37,-0.56,-2.38,0.85,0.37,-1.0,-0.18,-0.07,-0.1,-0.81,-0.91,0
-1.68,-0.31,-0.99,1.15,2.16,-0.21,-0.59,0.2,0.42,-1.38,1.5,0.48,-0.18,-0.07,-0.1,-0.88,-0.91,0
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,1.37,-0.81,-2.38,0.85,-0.76,0.48,-0.18,-0.07,-0.1,1.3,1.54,0
0.21,1.86,0.13,-1.5,-0.49,-0.21,-0.59,1.39,0.42,-0.11,1.05,0.48,-0.18,-0.07,-0.1,0.42,1.54,1
0.21,-0.31,1.26,1.81,-0.49,-0.21,-0.59,1.29,0.42,-0.42,1.38,0.48,-0.18,-0.07,-0.1,-0.39,1.54,0
-1.68,-0.31,1.26,-0.17,-0.49,-0.21,-0.59,0.23,0.42,-0.74,0.71,0.48,-0.18,-0.07,-0.1,0.1,-0.91,0
2.1,-0.31,1.26,1.15,-0.49,-0.21,1.37,-0.58,0.42,-1.06,-0.08,0.48,-0.18,-0.07,-0.1,0.98,-0.91,1
-1.68,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,-0.78,0.42,-0.74,-0.76,-1.0,-0.18,-0.07,-0.1,-0.41,-0.91,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,2.6,0.42,-0.42,0.14,0.48,-0.18,-0.07,-0.1,-0.81,-0.91,1
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.81,0.42,1.17,0.25,0.48,-0.18,-0.07,-0.1,0.14,0.32,1
0.21,-0.31,1.26,-0.17,-0.49,-0.21,-0.59,2.91,0.42,0.85,1.61,0.48,-0.18,-0.07,-0.1,-0.5,1.54,0
0.21,-0.31,0.13,-1.5,-0.49,-0.21,-0.59,-0.4,0.42,-1.38,1.38,0.48,-0.18,-0.07,-0.1,0.32,0.32,0
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.78,0.42,-0.42,-1.67,-3.96,5.43,7.27,2.31,-2.79,0.32,0
0.21,-0.31,-0.99,1.15,2.16,-0.21,-0.59,0.66,0.42,-0.74,-1.33,0.48,-0.18,-0.07,-0.1,-0.11,0.32,0
0.21,-0.31,0.13,-0.17,2.16,-0.21,-0.59,0.31,0.42,-1.06,-0.88,0.48,-0.18,-0.07,-0.1,-1.24,0.32,0
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,-0.15,0.42,-0.42,-0.88,-1.0,-0.18,-0.07,-0.1,0.38,-0.91,0
0.21,-0.31,1.26,0.49,-0.49,-0.21,1.37,0.1,0.42,-1.06,-0.99,0.48,-0.18,-0.07,-0.1,0.04,-0.91,1
0.21,-0.31,0.13,-0.83,-0.49,-0.21,-0.59,0.2,0.42,-0.74,-1.55,0.48,-0.18,-0.07,-0.1,0.56,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,1.37,0.93,0.42,0.53,1.5,0.48,-0.18,-0.07,-0.1,0.89,1.54,1
0.21,-0.31,0.13,0.49,2.16,-0.21,-0.59,0.04,0.42,-1.06,-1.33,0.48,-0.18,-0.07,-0.1,-0.66,0.32,0
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,3.01,-2.38,-0.11,0.14,0.48,-0.18,-0.07,-0.1,0.09,-0.91,1
-1.68,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.91,0.42,1.17,-1.67,-2.48,5.43,2.38,2.31,-1.07,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,1.37,0.45,0.42,-0.74,0.93,0.48,-0.18,-0.07,-0.1,0.92,-0.91,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.33,0.42,-1.7,0.14,-1.0,-0.18,-0.07,-0.1,-0.81,-0.91,0
0.21,-0.31,-0.99,-0.83,2.16,-0.21,-0.59,-0.52,0.42,-1.06,-0.2,0.48,-0.18,-0.07,-0.1,-0.3,-0.91,1
0.21,-0.31,0.13,-1.5,2.16,-0.21,-0.59,-0.97,0.42,-0.42,-1.21,0.48,-0.18,-0.07,-0.1,0.09,-0.91,0
0.21,-0.31,1.26,-0.17,-0.49,-0.21,-0.59,-0.06,0.42,1.17,-0.42,0.48,-0.18,-0.07,-0.1,-0.02,1.54,0
0.21,-0.31,1.26,-0.17,-0.49,-0.21,1.37,0.28,0.42,-1.06,0.14,0.48,-0.18,-0.07,-0.1,0.06,0.32,0
2.1,-0.31,1.26,-0.17,-0.49,-0.21,3.32,-0.92,0.42,0.85,-0.99,0.48,-0.18,-0.07,-0.1,2.9,0.32,0
0.21,-0.31,0.13,-0.83,2.16,-0.21,-0.59,1.9,0.42,0.21,-1.67,0.48,-0.18,-0.07,-0.1,-0.53,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,1.12,0.42,-0.11,-0.42,0.48,-0.18,-0.07,-0.1,-0.01,1.54,0
-1.68,-0.31,1.26,-0.83,0.39,-0.21,-0.59,-0.63,0.42,-2.02,-1.55,0.48,-0.18,-0.07,-0.1,-2.76,-0.91,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,1.37,-0.85,0.42,-0.42,-0.08,0.48,-0.18,-0.07,-0.1,1.33,-0.91,1
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.78,0.42,1.17,0.03,0.48,-0.18,-0.07,-0.1,-0.86,0.32,0
0.21,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,3.11,0.42,0.53,0.37,0.48,-0.18,-0.07,-0.1,0.11,-0.91,1
0.21,1.86,0.13,-1.5,2.16,-0.21,-0.59,-0.81,-2.38,0.53,-0.31,0.48,-0.18,-0.07,-0.1,-0.48,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,3.65,0.42,0.53,-0.08,0.48,-0.18,-0.07,-0.1,0.38,-0.91,1
0.21,-0.31,0.13,-0.17,2.16,-0.21,-0.59,1.73,0.42,1.49,0.03,0.48,-0.18,-0.07,-0.1,-0.7,-0.91,1
