no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_canceled
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,0.56,0.47,0.19,0.05,0.66,-0.16,-0.06,-0.09,-0.2,0.48,No
2.23,-0.26,-0.93,-0.85,-0.49,-0.18,1.64,-0.27,0.47,0.84,1.42,0.66,-0.16,-0.06,-0.09,1.59,-0.79,No
0.3,-0.26,1.37,-0.14,-0.49,-0.18,-0.51,-0.86,-2.14,1.49,1.42,0.66,-0.16,-0.06,-0.09,-1.52,-0.79,No
0.3,2.22,1.37,2.69,-0.49,-0.18,-0.51,-0.15,0.47,-0.14,-1.56,0.66,-0.16,-0.06,-0.09,-0.61,-0.79,No
0.3,-0.26,-0.93,1.27,-0.49,-0.18,-0.51,2.07,0.47,0.84,-1.21,0.66,-0.16,-0.06,-0.09,-0.21,-0.79,Yes
2.23,-0.26,1.37,3.4,-0.49,-0.18,1.64,0.02,0.47,0.19,-0.3,0.66,-0.16,-0.06,-0.09,1.37,0.48,Yes
-1.63,-0.26,-0.93,1.27,-0.49,-0.18,-0.51,-0.77,0.47,0.84,-1.1,0.66,-0.16,-0.06,-0.09,0.11,-0.79,Yes
0.3,-0.26,-0.93,1.27,-0.49,-0.18,-0.51,1.12,0.47,-0.14,-0.75,0.66,-0.16,-0.06,-0.09,-0.63,-0.79,Yes
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,1.64,0.07,0.47,-1.12,1.19,0.66,-0.16,-0.06,-0.09,0.72,0.48,Yes
-1.63,-0.26,-0.93,-0.85,-0.49,5.59,1.64,-0.98,0.47,1.49,-1.44,0.66,-0.16,-0.06,-0.09,0.18,0.48,No
-1.63,-0.26,0.22,-1.56,2.37,-0.18,-0.51,0.99,0.47,0.19,-1.67,0.66,-0.16,-0.06,-0.09,-1.11,-0.79,Yes
0.3,-0.26,-0.93,-0.14,2.37,-0.18,-0.51,-0.69,0.47,0.51,-0.41,0.66,-0.16,-0.06,-0.09,0.62,-0.79,Yes
0.3,4.71,1.37,-0.14,-0.49,-0.18,0.21,-0.76,-2.14,1.49,0.85,0.66,-0.16,-0.06,-0.09,-0.82,-0.79,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,-0.86,-2.14,0.51,1.53,0.66,-0.16,-0.06,-0.09,0.61,0.48,No
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.28,-2.14,0.84,-1.33,-0.81,-0.16,-0.06,-0.09,-1.08,-0.79,No
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,-0.51,-0.55,0.47,-1.12,0.5,0.66,-0.16,-0.06,-0.09,-0.1,-0.79,Yes
0.3,-0.26,1.37,1.27,2.37,-0.18,-0.51,-0.78,-2.14,0.19,-1.33,0.66,-0.16,-0.06,-0.09,-0.98,0.48,No
0.3,-0.26,-0.93,0.56,-0.49,5.59,2.35,-0.65,-2.14,1.16,-0.75,-0.81,-0.16,-0.06,-0.09,0.4,0.48,No
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.78,0.47,1.16,1.65,-2.28,-0.16,-0.06,-0.09,-1.19,-0.79,Yes
0.3,-0.26,0.22,-0.14,-0.49,-0.18,2.35,1.78,0.47,0.84,1.65,-0.81,-0.16,-0.06,-0.09,-0.4,-0.79,No
-1.63,-0.26,-0.93,-0.85,2.37,-0.18,-0.51,-0.98,-2.14,0.84,-0.41,0.66,-0.16,-0.06,-0.09,-0.22,0.48,No
-1.63,-0.26,0.22,-0.85,-0.49,-0.18,-0.51,-0.71,0.47,-0.46,1.19,0.66,-0.16,-0.06,-0.09,-0.24,-0.79,No
-1.63,-0.26,1.37,0.56,-0.49,-0.18,-0.51,-0.34,0.47,0.51,0.39,-0.81,6.16,2.65,-0.09,-0.91,-0.79,No
0.3,-0.26,1.37,1.27,-0.49,-0.18,-0.51,-0.88,-2.14,0.84,-0.07,0.66,-0.16,-0.06,-0.09,0.31,1.76,No
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,-0.51,0.31,0.47,-0.14,0.39,-0.81,-0.16,-0.06,-0.09,-0.2,-0.79,Yes
0.3,2.22,-0.93,-0.14,-0.49,-0.18,-0.51,0.04,0.47,-0.14,-0.53,0.66,-0.16,-0.06,-0.09,0.52,0.48,No
2.23,-0.26,0.22,0.56,-0.49,-0.18,-0.51,0.34,-2.14,0.19,1.53,0.66,-0.16,-0.06,-0.09,0.81,-0.79,No
0.3,-0.26,0.22,0.56,-0.49,-0.18,0.21,-0.78,0.47,-1.77,-0.41,0.66,-0.16,-0.06,-0.09,-0.32,-0.79,Yes
0.3,-0.26,0.22,-0.85,-0.49,-0.18,-0.51,-0.63,0.47,-0.14,0.27,0.66,-0.16,-0.06,-0.09,0.56,0.48,No
0.3,-0.26,0.22,1.27,-0.49,-0.18,1.64,-0.42,0.47,-1.12,-0.18,-0.81,-0.16,-0.06,-0.09,-0.59,-0.79,No
0.3,-0.26,0.22,1.27,-0.49,5.59,-0.51,0.65,0.47,0.51,-1.21,0.66,-0.16,-0.06,-0.09,-0.05,-0.79,Yes
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,-0.76,0.47,-1.44,0.16,0.66,-0.16,-0.06,-0.09,-1.03,-0.79,Yes
-1.63,-0.26,-0.93,1.27,-0.49,-0.18,-0.51,1.08,-2.14,0.51,-0.75,-0.81,-0.16,-0.06,-0.09,-0.06,1.76,Yes
0.3,-0.26,1.37,-0.14,2.37,-0.18,-0.51,-0.15,0.47,-1.12,0.16,0.66,-0.16,-0.06,-0.09,-0.58,-0.79,Yes
0.3,-0.26,1.37,0.56,-0.49,-0.18,-0.51,-0.93,0.47,-1.12,-0.75,0.66,-0.16,-0.06,-0.09,0.88,-0.79,Yes
0.3,-0.26,1.37,4.11,-0.49,-0.18,1.64,0.89,0.47,-0.14,-0.18,0.66,-0.16,-0.06,-0.09,0.3,-0.79,Yes
0.3,-0.26,1.37,0.56,-0.49,-0.18,-0.51,0.3,-2.14,1.16,-1.1,0.66,-0.16,-0.06,-0.09,-0.89,-0.79,No
2.23,-0.26,-0.93,-0.14,0.46,-0.18,-0.51,-0.6,0.47,-0.46,-1.56,0.66,-0.16,-0.06,-0.09,1.53,1.76,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,1.04,0.47,-0.14,-1.33,0.66,-0.16,-0.06,-0.09,-0.36,0.48,No
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,1.64,0.71,0.47,-1.12,-1.21,0.66,-0.16,-0.06,-0.09,0.97,-0.79,Yes
0.3,-0.26,-0.93,0.56,0.46,-0.18,-0.51,-0.46,0.47,-1.44,1.65,0.66,-0.16,-0.06,-0.09,0.16,-0.79,Yes
-1.63,-0.26,0.22,-1.56,-0.49,5.59,-0.51,-0.89,0.47,-0.46,-1.1,-2.28,-0.16,-0.06,-0.09,0.04,0.48,No
0.3,4.71,-0.93,-0.14,-0.49,-0.18,3.07,1.48,0.47,0.19,-0.64,0.66,-0.16,-0.06,-0.09,2.4,-0.79,Yes
2.23,-0.26,1.37,1.98,-0.49,-0.18,1.64,-0.69,0.47,-0.79,-1.56,0.66,-0.16,-0.06,-0.09,1.22,0.48,No
0.3,2.22,1.37,-0.85,-0.49,-0.18,-0.51,-0.27,0.47,-1.12,1.65,0.66,-0.16,-0.06,-0.09,-0.43,1.76,No
-1.63,-0.26,3.66,4.82,-0.49,-0.18,-0.51,-0.74,0.47,1.16,1.53,0.66,-0.16,-0.06,-0.09,-0.27,-0.79,Yes
0.3,2.22,-0.93,0.56,-0.49,-0.18,-0.51,0.09,0.47,-0.79,0.96,-0.81,-0.16,-0.06,-0.09,1.13,1.76,No
0.3,-0.26,0.22,0.56,-0.49,-0.18,1.64,-0.89,0.47,0.51,-1.21,0.66,-0.16,-0.06,-0.09,1.13,3.03,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,1.64,-0.44,0.47,0.84,-1.44,0.66,-0.16,-0.06,-0.09,1.02,-0.79,Yes
2.23,-0.26,1.37,-1.56,-0.49,-0.18,-0.51,-0.28,0.47,0.19,0.62,0.66,-0.16,-0.06,-0.09,0.71,-0.79,Yes
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.99,0.47,-1.44,-0.98,0.66,-0.16,-0.06,-0.09,0.4,0.48,Yes
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,2.35,-0.98,0.47,-0.46,-1.56,-3.75,-0.16,-0.06,-0.09,-2.95,0.48,No
-1.63,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,-0.58,-2.14,1.16,1.76,0.66,-0.16,-0.06,-0.09,-2.95,-0.79,No
-1.63,-0.26,1.37,0.56,-0.49,-0.18,-0.51,-0.93,-2.14,0.19,-0.53,0.66,-0.16,-0.06,-0.09,0.16,0.48,No
0.3,-0.26,0.22,1.27,-0.49,-0.18,-0.51,-0.57,-2.14,1.16,-0.18,0.66,-0.16,-0.06,-0.09,-0.61,0.48,No
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.96,0.47,-2.09,-1.56,-2.28,-0.16,-0.06,-0.09,-1.12,-0.79,No
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.17,0.47,1.16,0.39,-2.28,-0.16,-0.06,-0.09,-0.81,-0.79,Yes
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,0.59,0.47,-0.46,-1.56,0.66,-0.16,-0.06,-0.09,-0.12,-0.79,Yes
0.3,-0.26,0.22,-0.14,-0.49,-0.18,3.78,0.26,0.47,-0.14,1.08,0.66,-0.16,-0.06,-0.09,2.38,1.76,No
0.3,-0.26,-0.93,1.27,0.46,-0.18,1.64,-0.74,0.47,-1.77,-0.75,0.66,-0.16,-0.06,-0.09,1.31,-0.79,Yes
-1.63,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,-0.96,0.47,-1.12,0.96,-5.21,6.16,-0.06,0.96,-0.24,-0.79,No
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,3.23,0.47,0.84,-1.21,-3.75,-0.16,-0.06,-0.09,-2.95,0.48,Yes
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,1.1,-2.14,0.84,-0.3,0.66,-0.16,-0.06,-0.09,-0.62,0.48,No
0.3,2.22,1.37,-0.85,-0.49,-0.18,1.64,-0.04,0.47,-0.14,0.96,-0.81,-0.16,-0.06,-0.09,-0.38,-0.79,No
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,-0.51,-0.99,-2.14,0.84,-0.07,-2.28,-0.16,-0.06,-0.09,-0.85,-0.79,No
0.3,-0.26,1.37,1.27,-0.49,-0.18,1.64,-0.69,0.47,-1.12,-0.75,0.66,-0.16,-0.06,-0.09,0.55,-0.79,Yes
0.3,-0.26,-0.93,-0.85,2.37,-0.18,-0.51,0.96,0.47,0.19,1.65,0.66,-0.16,-0.06,-0.09,-0.41,-0.79,Yes
0.3,-0.26,1.37,-1.56,2.37,-0.18,-0.51,-0.47,0.47,-0.46,-1.33,0.66,-0.16,-0.06,-0.09,-0.12,1.76,Yes
0.3,-0.26,1.37,1.98,-0.49,-0.18,-0.51,1.09,0.47,0.51,-0.53,0.66,-0.16,-0.06,-0.09,-0.02,0.48,Yes
0.3,-0.26,0.22,-1.56,0.46,-0.18,-0.51,2.44,0.47,1.49,1.53,0.66,-0.16,-0.06,-0.09,-0.23,0.48,Yes
0.3,-0.26,0.22,-0.85,-0.49,-0.18,-0.51,1.18,-2.14,0.19,0.96,0.66,-0.16,-0.06,-0.09,-0.75,-0.79,Yes
0.3,-0.26,1.37,1.27,-0.49,-0.18,-0.51,-0.33,0.47,-0.46,1.19,0.66,-0.16,-0.06,-0.09,-0.86,-0.79,Yes
2.23,-0.26,-0.93,-0.14,-0.49,-0.18,-0.51,0.9,0.47,0.19,-0.41,-0.81,-0.16,-0.06,-0.09,-0.18,0.48,Yes
0.3,-0.26,0.22,0.56,-0.49,-0.18,-0.51,-0.88,-2.14,1.16,-1.21,0.66,-0.16,-0.06,-0.09,0.1,0.48,No
2.23,-0.26,1.37,0.56,-0.49,-0.18,1.64,0.91,0.47,0.51,-1.33,0.66,-0.16,-0.06,-0.09,1.34,-0.79,Yes
0.3,-0.26,-0.93,-0.85,2.37,5.59,-0.51,1.77,0.47,0.84,-0.3,0.66,-0.16,-0.06,-0.09,0.37,-0.79,Yes
0.3,-0.26,0.22,-1.56,2.37,-0.18,-0.51,0.39,0.47,0.51,-1.33,0.66,-0.16,-0.06,-0.09,-0.2,-0.79,Yes
0.3,-0.26,0.22,-0.85,-0.49,-0.18,1.64,-0.84,-2.14,0.19,-1.21,0.66,-0.16,-0.06,-0.09,-0.65,-0.79,No
0.3,-0.26,-0.93,1.27,-0.49,-0.18,0.21,-0.63,-2.14,1.49,-0.98,0.66,-0.16,-0.06,-0.09,-1.57,0.48,No
0.3,-0.26,1.37,0.56,-0.49,-0.18,-0.51,2.08,0.47,0.19,1.08,0.66,-0.16,-0.06,-0.09,-1.1,0.48,No
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,0.37,0.47,-0.79,0.96,0.66,-0.16,-0.06,-0.09,0.4,1.76,No
0.3,2.22,0.22,0.56,-0.49,-0.18,3.07,-0.64,0.47,-1.77,1.08,-0.81,-0.16,-0.06,-0.09,1.38,-0.79,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,1.53,0.47,-0.14,1.19,0.66,-0.16,-0.06,-0.09,-0.35,0.48,Yes
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.98,0.47,-1.77,-1.56,0.66,-0.16,-0.06,-0.09,-0.29,0.48,No
