CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1.31,-0.9,-1.1,1.34,1.72,-1.23,0.81,0.65,-1.03,1.56,0
-0.05,-0.9,0.91,-0.37,0.34,0.12,-0.91,-1.55,0.97,1.12,0
0.66,-0.9,0.91,0.67,-1.39,-1.23,-0.91,0.65,-1.03,0.91,1
1.36,-0.9,0.91,0.01,1.03,-1.23,0.81,0.65,0.97,-1.15,0
1.29,1.52,0.91,-0.95,1.72,-1.23,0.81,0.65,0.97,-0.56,0
-1.77,0.31,0.91,-0.37,-0.35,1.0,-0.91,0.65,0.97,-0.92,1
1.62,-0.9,0.91,0.29,0.69,0.67,-0.91,0.65,0.97,-1.29,0
1.54,-0.9,-1.1,-1.61,1.03,1.57,0.81,-1.55,0.97,1.61,0
0.25,-0.9,0.91,0.1,0.69,0.59,0.81,0.65,-1.03,-1.14,0
-0.5,1.52,0.91,-0.95,-0.0,0.44,-0.91,0.65,-1.03,1.06,0
-1.82,-0.9,-1.1,-0.66,1.03,0.68,-0.91,0.65,-1.03,0.01,0
0.97,1.52,-1.1,-1.23,-0.0,1.44,-0.91,0.65,0.97,1.42,0
-0.65,1.52,0.91,-0.47,1.72,-1.23,0.81,0.65,-1.03,-0.37,0
0.54,0.31,0.91,0.29,1.38,-0.21,-0.91,-1.55,0.97,0.65,0
1.0,1.52,-1.1,0.2,-0.0,0.29,0.81,0.65,-1.03,1.65,0
-0.7,-0.9,0.91,-1.14,0.69,-1.23,0.81,0.65,-1.03,-0.85,0
1.03,1.52,-1.1,-0.47,1.38,0.58,-0.91,-1.55,-1.03,0.87,1
0.32,-0.9,0.91,-0.09,-0.7,-1.23,0.81,0.65,0.97,0.22,0
1.27,-0.9,0.91,-1.33,-1.04,0.95,-0.91,0.65,-1.03,-0.46,0
