CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1.56,0.31,0.91,-0.37,-1.39,0.13,-0.91,0.65,0.97,0.75,No
-0.54,0.31,0.91,0.2,0.69,1.16,-0.91,0.65,0.97,-0.63,No
-1.44,0.31,-1.1,0.2,0.34,0.6,-0.91,0.65,-1.03,1.61,Yes
0.69,0.31,-1.1,0.39,1.38,0.55,-0.91,0.65,-1.03,0.79,No
1.43,-0.9,0.91,0.01,0.34,0.97,4.25,-1.55,0.97,-1.09,Yes
0.4,1.52,-1.1,-0.09,1.38,0.45,0.81,0.65,0.97,1.61,No
-1.03,-0.9,0.91,-0.47,-1.04,0.76,0.81,-1.55,-1.03,-0.73,No
1.34,1.52,-1.1,0.39,0.69,1.32,0.81,0.65,0.97,1.29,Yes
1.07,0.31,-1.1,-1.23,1.03,0.29,2.53,0.65,-1.03,0.9,Yes
-1.54,0.31,-1.1,1.44,-0.7,0.22,-0.91,0.65,-1.03,-0.68,No
0.98,0.31,0.91,-1.71,-0.35,0.59,0.81,0.65,0.97,1.16,No
-0.5,1.52,-1.1,0.96,1.38,1.45,0.81,0.65,0.97,-0.73,Yes
0.05,-0.9,-1.1,-1.23,-0.7,0.08,-0.91,0.65,0.97,0.45,Yes
-0.05,-0.9,0.91,-1.42,0.34,1.26,0.81,0.65,-1.03,1.43,No
-0.52,-0.9,0.91,0.39,1.38,0.25,2.53,0.65,-1.03,0.55,Yes
-1.28,-0.9,-1.1,0.67,-0.35,0.57,2.53,0.65,0.97,-0.7,Yes
-1.3,0.31,-1.1,1.34,0.69,0.63,0.81,0.65,0.97,-1.18,Yes
-0.6,-0.9,0.91,-1.51,1.03,0.95,-0.91,0.65,0.97,-0.99,Yes
0.4,1.52,0.91,-0.76,1.03,0.72,-0.91,0.65,-1.03,0.68,Yes
-0.71,1.52,0.91,-0.18,-1.04,0.28,0.81,0.65,0.97,1.7,No
0.7,-0.9,0.91,0.48,-1.04,0.51,-0.91,0.65,0.97,0.83,Yes
0.13,1.52,0.91,3.82,0.69,-1.23,0.81,0.65,0.97,-0.09,No
0.8,1.52,-1.1,2.11,1.72,-1.23,4.25,0.65,-1.03,1.09,Yes
1.28,1.52,0.91,-0.85,-0.0,-1.23,0.81,0.65,-1.03,1.73,No
-0.74,0.31,0.91,0.67,-0.0,0.27,-0.91,0.65,0.97,-1.64,Yes
1.03,-0.9,0.91,0.48,0.34,0.62,-0.91,0.65,0.97,1.38,Yes
1.81,1.52,0.91,1.06,-1.04,-1.23,0.81,0.65,-1.03,0.87,Yes
-0.03,0.31,0.91,-0.18,-0.35,0.72,0.81,0.65,-1.03,-0.46,Yes
0.62,0.31,0.91,-0.37,0.34,0.87,-0.91,-1.55,0.97,1.36,Yes
-0.65,-0.9,-1.1,0.48,-0.7,0.62,0.81,0.65,-1.03,-1.67,No
-0.3,0.31,-1.1,-0.66,-1.39,1.77,-0.91,0.65,-1.03,0.61,Yes
0.49,-0.9,-1.1,-1.8,0.34,-1.23,-0.91,0.65,-1.03,1.08,No
0.64,-0.9,0.91,0.01,-0.0,0.57,0.81,-1.55,0.97,1.31,No
-1.1,-0.9,-1.1,-0.18,-1.04,0.4,-0.91,0.65,-1.03,-0.8,No
-1.54,1.52,0.91,0.67,-0.7,0.94,-0.91,0.65,0.97,0.75,Yes
1.22,0.31,-1.1,-0.37,0.34,1.09,-0.91,-1.55,0.97,-0.05,Yes
0.3,-0.9,0.91,2.4,0.69,0.71,-0.91,0.65,0.97,-0.77,Yes
-0.36,-0.9,0.91,-0.56,-1.73,1.53,0.81,0.65,0.97,0.13,No
-0.48,-0.9,0.91,3.25,-1.39,-1.23,0.81,-1.55,0.97,-0.89,No
-0.76,1.52,0.91,0.01,-0.7,-1.23,-0.91,0.65,0.97,-1.43,No
0.64,-0.9,0.91,-0.95,-0.7,-1.23,0.81,0.65,-1.03,0.31,No
-2.13,-0.9,-1.1,2.48,1.38,1.02,-0.91,0.65,-1.03,1.3,Yes
-1.21,0.31,0.91,-1.52,1.03,1.45,0.81,0.65,-1.03,0.69,No
-1.03,-0.9,-1.1,0.39,-0.35,-1.23,0.81,0.65,0.97,-0.98,No
0.23,0.31,0.91,0.58,1.03,0.92,-0.91,0.65,-1.03,0.73,Yes
1.56,0.31,-1.1,1.53,1.38,0.85,2.53,0.65,-1.03,-0.09,Yes
-0.74,-0.9,-1.1,-0.09,-0.0,-1.23,4.25,0.65,-1.03,-0.52,Yes
-0.38,0.31,0.91,1.73,-1.39,0.75,-0.91,0.65,-1.03,-0.0,Yes
-0.22,0.31,0.91,0.77,-1.39,0.25,-0.91,0.65,0.97,-0.17,No
-0.14,-0.9,0.91,-0.95,0.69,-1.23,0.81,0.65,0.97,0.0,No
-1.22,1.52,0.91,0.29,1.03,0.78,2.53,0.65,-1.03,0.16,Yes
0.35,-0.9,0.91,-1.52,-0.35,-1.23,0.81,0.65,0.97,-0.12,No
1.95,0.31,-1.1,-0.56,-0.7,0.36,0.81,0.65,-1.03,-1.65,No
0.46,-0.9,0.91,0.01,1.72,0.58,0.81,0.65,-1.03,-0.84,No
0.95,-0.9,0.91,2.11,-1.39,-1.23,-0.91,0.65,0.97,0.95,Yes
0.48,-0.9,-1.1,0.1,0.69,0.34,-0.91,0.65,-1.03,-0.34,Yes
-0.49,-0.9,-1.1,-1.71,-0.7,-1.23,0.81,-1.55,0.97,1.61,No
-1.22,0.31,0.91,0.1,-1.04,0.43,-0.91,0.65,0.97,1.31,No
0.37,0.31,-1.1,0.01,0.69,0.85,-0.91,0.65,-1.03,-1.32,Yes
-1.49,0.31,-1.1,-0.56,-1.04,0.94,-0.91,-1.55,-1.03,0.13,No
-0.7,1.52,0.91,0.48,0.69,0.85,0.81,0.65,-1.03,-1.62,Yes
-0.81,0.31,0.91,-0.09,-0.35,0.64,0.81,-1.55,0.97,1.58,No
-1.39,1.52,0.91,0.2,1.03,-1.23,0.81,0.65,0.97,-0.95,No
-0.97,-0.9,-1.1,-1.33,-0.35,-1.23,0.81,0.65,-1.03,-1.72,No
0.07,-0.9,0.91,-0.76,0.69,0.33,-0.91,0.65,-1.03,-0.48,No
-0.06,1.52,0.91,-0.28,-1.04,0.91,0.81,0.65,-1.03,-0.49,Yes
-1.16,0.31,-1.1,0.58,0.69,1.05,2.53,0.65,-1.03,1.28,Yes
0.28,0.31,0.91,-1.61,1.38,1.37,0.81,-1.55,0.97,1.49,No
-0.75,0.31,0.91,0.39,-1.39,0.39,-0.91,0.65,-1.03,-0.13,Yes
0.05,-0.9,-1.1,0.77,-1.04,-1.23,0.81,-1.55,0.97,-1.21,No
-0.23,1.52,0.91,0.77,1.03,-1.23,0.81,0.65,0.97,-1.47,No
0.28,-0.9,-1.1,-1.04,0.69,-1.23,0.81,0.65,0.97,-0.64,No
0.15,-0.9,-1.1,-0.85,1.03,-1.23,-0.91,-1.55,0.97,0.16,Yes
-1.07,0.31,0.91,-0.56,-0.0,0.03,0.81,-1.55,-1.03,-0.26,No
0.01,0.31,-1.1,-0.66,0.34,0.63,0.81,0.65,0.97,0.04,No
-2.44,1.52,0.91,2.58,-1.04,-1.23,-0.91,0.65,0.97,-0.83,Yes
0.4,-0.9,-1.1,0.1,1.72,-1.23,0.81,-1.55,0.97,-0.6,No
0.92,-0.9,-1.1,-1.04,0.69,-1.23,-0.91,0.65,-1.03,-0.22,Yes
1.18,-0.9,-1.1,0.39,-1.73,-1.23,0.81,0.65,0.97,-0.49,No
1.79,-0.9,0.91,1.15,-0.35,-1.23,-0.91,0.65,0.97,-1.74,No
0.66,-0.9,0.91,-0.47,-0.35,-1.23,-0.91,0.65,0.97,-0.94,Yes
1.62,-0.9,0.91,-0.28,0.69,0.77,0.81,-1.55,0.97,0.08,Yes
-1.69,1.52,0.91,0.2,0.34,1.15,2.53,0.65,-1.03,0.49,Yes
-0.67,1.52,-1.1,-0.18,-0.0,-1.23,0.81,0.65,0.97,0.62,No
2.06,0.31,0.91,0.29,1.03,1.17,2.53,0.65,-1.03,-0.78,Yes
0.06,0.31,0.91,-0.18,-0.0,1.1,-0.91,0.65,-1.03,-0.9,No
1.58,1.52,0.91,1.44,-0.7,-1.23,2.53,0.65,-1.03,0.15,Yes
-0.98,-0.9,0.91,-0.09,-1.39,-1.23,0.81,0.65,0.97,1.23,No
-0.09,-0.9,-1.1,2.58,-0.7,0.49,-0.91,0.65,0.97,-0.28,Yes
0.81,-0.9,-1.1,0.1,1.03,-0.02,-0.91,0.65,0.97,0.75,Yes
-1.48,1.52,-1.1,0.01,1.38,0.96,-0.91,-1.55,0.97,-0.29,No
-1.96,-0.9,0.91,-0.09,-0.35,1.17,-0.91,0.65,-1.03,-1.04,Yes
0.33,-0.9,-1.1,-0.37,1.38,-1.23,0.81,-1.55,-1.03,-0.45,Yes
-1.58,-0.9,-1.1,1.82,1.03,-1.23,-0.91,-1.55,-1.03,0.23,Yes
-1.94,0.31,-1.1,1.06,-0.7,0.48,-0.91,-1.55,-1.03,-0.7,Yes
0.11,-0.9,0.91,-0.56,1.38,-1.23,-0.91,-1.55,-1.03,1.23,Yes
1.35,0.31,0.91,-0.47,0.34,1.07,0.81,-1.55,-1.03,1.26,Yes
-0.22,1.52,-1.1,0.77,-1.39,0.9,0.81,0.65,-1.03,-1.13,Yes
-0.24,-0.9,0.91,1.44,1.03,-1.23,-0.91,0.65,-1.03,1.08,Yes
-1.83,-0.9,0.91,1.34,-0.35,-1.23,0.81,0.65,0.97,0.27,Yes
1.47,1.52,-1.1,-0.18,0.69,1.12,-0.91,-1.55,-1.03,0.94,No
0.18,0.31,0.91,-0.85,-1.39,0.58,2.53,0.65,0.97,-0.72,Yes
0.09,0.31,-1.1,0.29,0.34,1.46,4.25,0.65,-1.03,-0.97,Yes
-0.04,1.52,0.91,-0.85,-0.0,-1.23,0.81,0.65,0.97,-0.73,No
2.06,-0.9,0.91,1.72,-0.7,-1.23,-0.91,0.65,-1.03,-1.0,Yes
1.67,-0.9,0.91,1.44,1.03,0.71,-0.91,-1.55,0.97,0.44,No
-0.25,0.31,0.91,0.29,0.69,0.85,-0.91,-1.55,-1.03,-0.15,Yes
-1.46,-0.9,0.91,1.06,1.72,-1.23,-0.91,0.65,-1.03,-1.48,Yes
1.37,-0.9,-1.1,2.3,0.34,0.18,0.81,0.65,0.97,1.57,No
-1.42,0.31,0.91,0.1,-0.35,1.13,2.53,-1.55,-1.03,0.11,Yes
-0.98,1.52,-1.1,-0.18,-0.35,0.91,-0.91,0.65,0.97,1.13,No
0.57,0.31,0.91,-0.47,0.69,0.78,-0.91,0.65,0.97,-0.14,No
1.06,0.31,0.91,0.1,1.03,0.99,-0.91,0.65,0.97,-1.51,No
-1.17,-0.9,0.91,-0.66,-0.35,-1.23,0.81,0.65,0.97,-1.62,Yes
1.07,0.31,-1.1,-0.76,-1.04,0.47,0.81,0.65,0.97,0.05,Yes
-0.26,0.31,0.91,1.73,0.34,1.81,-0.91,0.65,0.97,0.11,Yes
1.4,-0.9,0.91,-1.42,0.69,-1.23,0.81,0.65,0.97,-1.64,No
-0.42,1.52,-1.1,-0.66,-1.39,-1.23,-0.91,0.65,-1.03,0.5,Yes
0.16,1.52,0.91,1.34,-0.0,0.17,0.81,0.65,0.97,-0.72,No
2.06,0.31,0.91,0.29,-1.39,1.3,-0.91,-1.55,-1.03,-1.42,Yes
1.41,0.31,0.91,-0.18,-0.35,1.75,-0.91,0.65,-1.03,0.11,Yes
2.06,-0.9,0.91,1.73,-0.0,0.31,2.53,0.65,0.97,0.38,Yes
-0.82,1.52,-1.1,-0.95,1.03,-1.23,-0.91,0.65,-1.03,-0.67,No
1.99,1.52,-1.1,0.67,0.69,-1.23,2.53,-1.55,0.97,-1.67,Yes
0.04,0.31,-1.1,2.2,-1.04,1.34,-0.91,0.65,-1.03,-0.84,Yes
0.33,-0.9,0.91,-0.56,-0.0,0.55,-0.91,0.65,0.97,1.69,No
-0.76,0.31,0.91,-0.37,1.38,0.58,-0.91,0.65,-1.03,0.72,Yes
0.48,-0.9,0.91,3.91,1.03,-1.23,0.81,0.65,0.97,1.55,No
-0.26,-0.9,-1.1,1.53,1.72,-0.72,-0.91,0.65,-1.03,1.13,Yes
-0.3,0.31,-1.1,-1.04,0.69,0.65,0.81,-1.55,0.97,1.55,No
-0.88,-0.9,-1.1,-0.37,0.34,0.98,2.53,0.65,0.97,1.18,Yes
-0.49,1.52,-1.1,-1.24,-0.0,0.7,-0.91,0.65,-1.03,1.63,Yes
-1.32,0.31,0.91,3.25,0.34,0.57,-0.91,0.65,0.97,0.79,No
-1.26,-0.9,0.91,1.91,1.38,-1.23,-0.91,0.65,-1.03,-0.1,Yes
-0.94,0.31,-1.1,0.96,-1.73,0.82,-0.91,0.65,-1.03,0.37,Yes
-0.12,1.52,0.91,0.29,-0.35,-1.23,-0.91,0.65,0.97,0.81,Yes
1.81,1.52,-1.1,-0.37,-1.04,0.55,-0.91,0.65,0.97,-0.61,No
-0.8,-0.9,0.91,0.1,1.72,0.14,-0.91,-1.55,-1.03,1.55,No
-0.99,-0.9,0.91,0.48,1.38,1.36,-0.91,-1.55,-1.03,-1.22,Yes
-1.0,0.31,0.91,-0.56,-0.35,1.76,-0.91,0.65,-1.03,1.62,No
-0.91,1.52,-1.1,2.39,1.38,-1.23,-0.91,-1.55,-1.03,-0.12,Yes
0.08,0.31,-1.1,-0.47,-0.35,1.0,0.81,0.65,0.97,0.2,Yes
-0.8,-0.9,0.91,-1.04,-0.7,0.47,-0.91,0.65,0.97,-1.29,Yes
-0.02,1.52,0.91,0.39,-1.39,-1.23,-0.91,-1.55,-1.03,0.56,Yes
2.06,-0.9,-1.1,3.15,0.34,0.79,4.25,0.65,0.97,0.97,Yes
-0.72,1.52,0.91,0.87,1.03,-1.23,0.81,0.65,0.97,0.14,Yes
-0.62,-0.9,0.91,1.54,0.69,-1.23,0.81,0.65,0.97,0.94,No
0.7,-0.9,0.91,-0.76,1.38,-1.23,0.81,0.65,0.97,-0.89,No
-0.18,1.52,-1.1,1.15,-1.39,-1.23,-0.91,0.65,-1.03,-1.15,Yes
0.46,-0.9,0.91,1.06,0.34,-1.23,-0.91,0.65,-1.03,0.27,Yes
0.7,0.31,0.91,-0.85,-1.04,0.72,-0.91,0.65,-1.03,-1.48,Yes
-0.06,1.52,0.91,-1.61,-0.35,0.02,-0.91,0.65,0.97,-0.37,No
-0.02,1.52,-1.1,-1.42,1.03,-0.32,-0.91,-1.55,-1.03,-1.02,Yes
-0.67,-0.9,0.91,-0.47,-1.04,-1.23,0.81,0.65,0.97,0.39,No
0.47,-0.9,-1.1,-0.09,-1.73,-1.23,-0.91,0.65,0.97,1.69,Yes
0.71,-0.9,0.91,2.48,0.69,-1.23,-0.91,0.65,0.97,1.67,Yes
1.24,1.52,0.91,-1.71,1.03,-1.23,-0.91,0.65,-1.03,1.15,Yes
0.57,1.52,0.91,0.01,0.34,0.75,-0.91,-1.55,0.97,-0.0,No
-0.14,-0.9,0.91,0.1,0.34,-1.23,0.81,-1.55,-1.03,1.11,No
0.62,-0.9,-1.1,0.39,-0.0,-1.23,0.81,0.65,0.97,1.62,No
1.62,1.52,0.91,2.68,1.03,-1.23,0.81,-1.55,0.97,-1.54,No
-1.46,0.31,0.91,0.1,-0.0,1.47,0.81,-1.55,-1.03,-1.71,Yes
-0.81,0.31,0.91,1.53,1.03,0.68,-0.91,0.65,-1.03,1.45,Yes
0.19,-0.9,0.91,0.2,-0.0,0.68,-0.91,-1.55,-1.03,-0.67,Yes
-1.94,-0.9,0.91,0.77,0.34,0.54,2.53,0.65,-1.03,-0.69,Yes
-1.56,-0.9,-1.1,-1.52,1.38,-1.23,4.25,0.65,0.97,1.29,Yes
-0.3,0.31,0.91,-0.09,-1.04,0.86,0.81,0.65,-1.03,-1.5,No
-1.32,-0.9,-1.1,0.1,1.72,-1.23,0.81,0.65,-1.03,1.06,No
-1.66,0.31,0.91,-0.18,1.72,0.79,-0.91,0.65,-1.03,0.44,No
0.03,-0.9,0.91,2.2,-0.7,1.12,-0.91,0.65,-1.03,-0.19,No
0.64,-0.9,-1.1,-0.28,0.34,-1.23,0.81,0.65,-1.03,-0.18,No
1.47,-0.9,0.91,-1.52,1.03,-1.23,0.81,0.65,-1.03,0.26,Yes
1.49,-0.9,-1.1,-0.66,0.69,-0.59,-0.91,0.65,-1.03,1.05,No
-0.72,0.31,0.91,0.67,-1.04,0.29,0.81,0.65,-1.03,1.57,No
1.3,0.31,-1.1,0.96,-1.73,0.87,-0.91,-1.55,-1.03,-0.91,Yes
-1.09,1.52,0.91,2.3,-1.39,1.21,-0.91,0.65,0.97,-0.67,Yes
0.38,-0.9,0.91,-0.85,1.38,-1.23,0.81,0.65,-1.03,-0.78,No
-1.19,-0.9,-1.1,2.58,-0.7,0.18,-0.91,0.65,0.97,-1.1,No
-0.88,0.31,0.91,1.72,1.03,0.23,-0.91,0.65,-1.03,-0.32,Yes
-0.04,-0.9,-1.1,0.2,1.38,0.22,-0.91,0.65,-1.03,1.2,Yes
1.29,0.31,-1.1,1.72,-0.7,0.05,-0.91,-1.55,-1.03,-1.41,Yes
1.49,1.52,0.91,-0.56,1.38,-1.23,0.81,0.65,-1.03,1.61,No
0.66,1.52,-1.1,-0.09,-1.39,-1.23,-0.91,0.65,-1.03,1.71,No
-0.29,1.52,-1.1,1.15,1.72,-1.23,-0.91,0.65,0.97,-0.89,Yes
-1.56,-0.9,0.91,-1.14,1.03,-1.23,-0.91,-1.55,-1.03,-1.74,Yes
1.04,-0.9,-1.1,0.39,1.03,1.22,-0.91,-1.55,-1.03,-0.73,Yes
0.33,-0.9,0.91,-0.66,0.69,-1.23,-0.91,-1.55,0.97,-1.14,No
0.5,-0.9,0.91,-0.66,-0.35,1.31,0.81,0.65,-1.03,1.73,Yes
0.49,1.52,0.91,0.67,1.72,1.79,0.81,0.65,-1.03,-1.59,Yes
-0.55,1.52,0.91,-0.47,1.72,-1.23,0.81,0.65,0.97,0.19,Yes
-0.96,0.31,-1.1,-1.23,-0.7,0.29,-0.91,0.65,0.97,1.66,No
-0.76,0.31,0.91,0.77,0.69,0.1,-0.91,0.65,0.97,-0.71,Yes
0.57,-0.9,-1.1,-0.95,-1.73,0.58,-0.91,0.65,0.97,0.04,Yes
0.26,0.31,-1.1,0.01,-0.0,0.47,-0.91,0.65,0.97,1.42,Yes
-0.75,-0.9,0.91,0.29,0.69,-0.46,0.81,0.65,0.97,-1.73,No
0.58,1.52,0.91,-0.28,-0.35,0.77,-0.91,0.65,-1.03,0.21,Yes
2.06,1.52,0.91,-0.95,-1.73,1.42,0.81,0.65,-1.03,-0.75,No
-0.21,0.31,-1.1,1.15,1.38,0.51,2.53,0.65,0.97,-0.63,Yes
-0.63,1.52,0.91,0.29,0.34,1.71,-0.91,0.65,-1.03,-0.4,No
-0.72,-0.9,0.91,0.01,1.38,-1.23,-0.91,0.65,-1.03,-1.29,No
0.82,-0.9,0.91,0.48,0.34,-1.23,0.81,0.65,-1.03,1.73,No
-1.24,0.31,0.91,1.25,-1.39,1.08,-0.91,0.65,0.97,-0.83,Yes
2.05,0.31,0.91,-1.33,0.69,0.88,0.81,-1.55,-1.03,-0.6,No
1.62,-0.9,0.91,-0.66,0.69,0.82,0.81,0.65,0.97,0.12,No
1.16,0.31,0.91,0.58,-1.39,0.85,-0.91,-1.55,-1.03,0.64,Yes
-0.66,-0.9,0.91,-0.47,0.34,-0.01,4.25,0.65,-1.03,-0.69,Yes
-1.23,1.52,0.91,0.87,1.38,-1.23,0.81,0.65,0.97,-1.32,No
-0.37,1.52,-1.1,0.67,-1.04,-1.23,0.81,0.65,0.97,0.09,No
0.74,0.31,0.91,0.77,1.03,0.64,0.81,0.65,0.97,1.35,Yes
-1.84,0.31,0.91,0.87,-1.04,-0.23,-0.91,0.65,-1.03,-1.55,Yes
-1.91,0.31,-1.1,-0.95,0.34,0.85,-0.91,-1.55,-1.03,-0.52,No
-0.58,-0.9,-1.1,0.1,1.38,0.53,-0.91,0.65,-1.03,1.33,No
0.5,0.31,0.91,-0.47,-0.7,1.23,0.81,0.65,0.97,1.41,No
0.17,-0.9,-1.1,2.3,-1.39,-1.23,0.81,-1.55,0.97,0.31,No
-0.18,-0.9,-1.1,-0.09,0.34,0.83,-0.91,0.65,0.97,1.52,No
-0.8,1.52,0.91,2.01,1.72,-0.11,-0.91,0.65,0.97,-1.51,No
0.96,0.31,0.91,3.82,0.34,0.47,-0.91,0.65,-1.03,-0.54,Yes
1.03,1.52,-1.1,1.53,0.69,0.76,-0.91,0.65,-1.03,-1.22,Yes
-0.03,1.52,0.91,-0.37,-1.39,0.93,-0.91,0.65,-1.03,-1.35,Yes
0.42,-0.9,0.91,0.01,-1.39,0.67,-0.91,0.65,-1.03,-0.16,Yes
2.06,-0.9,-1.1,-1.33,-0.35,0.65,-0.91,-1.55,-1.03,-1.68,Yes
-0.08,0.31,-1.1,-0.28,-1.39,2.19,-0.91,0.65,0.97,1.55,Yes
-0.43,-0.9,-1.1,-1.04,1.03,-0.14,-0.91,0.65,-1.03,0.72,Yes
-0.53,0.31,-1.1,0.77,-0.0,0.82,-0.91,0.65,-1.03,1.69,Yes
-0.55,1.52,-1.1,0.77,1.03,0.62,0.81,0.65,0.97,1.43,No
-1.14,-0.9,0.91,2.77,-0.7,0.95,-0.91,0.65,0.97,1.26,Yes
0.58,1.52,-1.1,0.48,-0.7,-1.23,0.81,0.65,-1.03,1.21,No
0.29,-0.9,-1.1,-0.95,-0.7,0.72,-0.91,-1.55,-1.03,-1.29,No
-1.11,1.52,0.91,1.15,-1.39,1.1,-0.91,-1.55,0.97,0.75,Yes
-1.67,1.52,0.91,-1.52,0.69,-1.23,0.81,0.65,0.97,-0.89,No
-1.1,-0.9,0.91,-0.09,-0.0,-1.23,-0.91,0.65,-1.03,0.72,No
-0.74,0.31,0.91,0.77,-1.04,1.04,-0.91,0.65,0.97,-1.14,Yes
0.6,0.31,-1.1,0.77,0.69,0.43,0.81,0.65,0.97,0.95,Yes
-0.54,-0.9,0.91,0.67,0.69,0.1,-0.91,0.65,0.97,-1.19,No
1.1,1.52,0.91,-1.33,-1.39,-1.23,0.81,-1.55,0.97,0.85,No
1.85,-0.9,0.91,-0.66,0.69,-1.23,0.81,0.65,0.97,-1.13,No
-0.81,0.31,0.91,0.39,0.69,0.87,-0.91,0.65,0.97,0.24,Yes
-1.49,1.52,-1.1,0.1,-0.35,-1.23,-0.91,0.65,-1.03,1.06,Yes
0.85,0.31,-1.1,2.01,-1.04,0.83,-0.91,0.65,0.97,1.59,No
-2.59,-0.9,-1.1,-1.23,1.03,-1.23,0.81,0.65,-1.03,-1.6,No
0.52,1.52,-1.1,2.01,0.69,-1.23,-0.91,-1.55,0.97,-1.16,Yes
1.28,0.31,-1.1,-0.18,-0.35,1.19,-0.91,-1.55,-1.03,0.57,Yes
2.06,1.52,0.91,-0.66,0.69,-1.23,0.81,0.65,0.97,-0.65,No
0.06,-0.9,0.91,0.2,1.03,1.17,-0.91,-1.55,0.97,-1.19,No
-0.3,-0.9,-1.1,0.01,-0.0,-0.18,2.53,0.65,0.97,-0.78,Yes
2.06,0.31,-1.1,-0.95,0.69,0.42,0.81,0.65,-1.03,-1.41,Yes
1.51,-0.9,0.91,-0.66,-1.39,0.63,-0.91,-1.55,0.97,-1.35,No
-0.32,0.31,0.91,0.77,-1.39,0.55,0.81,0.65,0.97,1.15,No
-1.25,-0.9,0.91,-1.23,-1.04,-1.23,0.81,0.65,0.97,-1.55,No
1.05,1.52,0.91,0.1,-1.04,-1.23,0.81,0.65,0.97,1.33,No
-0.99,1.52,0.91,1.72,1.72,-1.23,2.53,0.65,-1.03,-0.65,Yes
0.46,0.31,0.91,-0.18,-0.7,0.52,2.53,-1.55,0.97,1.51,Yes
-0.56,0.31,-1.1,2.68,1.38,1.01,-0.91,0.65,-1.03,0.59,Yes
0.82,0.31,-1.1,-0.47,1.72,0.8,0.81,0.65,0.97,1.42,Yes
-1.09,0.31,-1.1,1.72,0.69,1.08,0.81,0.65,0.97,0.71,Yes
0.34,-0.9,0.91,0.2,1.72,0.9,-0.91,-1.55,-1.03,0.84,Yes
0.44,0.31,-1.1,1.63,1.38,0.52,4.25,-1.55,-1.03,0.69,Yes
